tweet_text,senti-score,senti-type,all_hashtags,favorite_count,retweet_count,created_at,username,followers_count,location
#Climatechange will hit our food sources and choices. https://t.co/aKBpwe1eU5,0.39716999999999997,neutral,"[{'text': 'Climatechange', 'indices': [0, 14]}]",0,0,2020-11-09 12:53:19,ronmartino4,591,"Newburyport, MA"
Fight. Fight. Fight.   Loving this stoush between Malcolm Turnbull and Paul Kelly on Murdoch’s #ClimateChange denialism. Should be more of it! Call it out.   #QandA @qanda,0.9846600000000001,positive,"[{'text': 'ClimateChange', 'indices': [95, 109]}, {'text': 'QandA', 'indices': [158, 164]}]",0,1,2020-11-09 12:53:04,MComms101,146,"GOLD COAST Queensland, Aus"
"#Climate change and rainy winters pose challenges to the #construction industry. More important than individual innovation is the establishment of common, simple ground rules for the industry, as they can prevent up to 80% of all issues. https://t.co/tteGEobyac #climatechange https://t.co/HEoYUlXH9Z",1.97803,positive,"[{'text': 'Climate', 'indices': [0, 8]}, {'text': 'construction', 'indices': [57, 70]}, {'text': 'climatechange', 'indices': [262, 276]}]",0,0,2020-11-09 12:52:56,YITGroup,909,
"@EikeLuedeling @Kripal_Gill Is it that in German academia #climatechange is seen as a ""geography"" topic? Or ""agrometereology""? Stuck in disciplines, when really it should be a basic first year topic to cover like ""soils, diseases, botany, business...and climate"".",1.3036399999999997,positive,"[{'text': 'climatechange', 'indices': [58, 72]}]",0,0,2020-11-09 12:52:47,bunn_coffee,420,"Göttingen, Germany"
"“If you talk to the farmers about #ClimateChange, they don’t understand it.But if the project brings economic benefit and also makes their environment better, then it’s much easier to get them on board”.  Great read from ⁦@climate! #BestPractice #Brazil https://t.co/h5cqG4xCQ6",1.96043,positive,"[{'text': 'ClimateChange', 'indices': [34, 48]}, {'text': 'BestPractice', 'indices': [232, 245]}, {'text': 'Brazil', 'indices': [246, 253]}]",0,0,2020-11-09 12:52:07,MotherAmazon,172,"Sao Paulo, Brazil"
Watch @RebeccaReCap call to action on #climatechange: https://t.co/XSFgbigJ22,0.46435000000000004,neutral,"[{'text': 'climatechange', 'indices': [38, 52]}]",0,0,2020-11-09 12:52:03,HBSBEI,2373,"Boston, MA"
"#QandA No Party was calling for ""radical"" action on #climatechange; they're calling for TIMELY MITIGATION ACTION on the now unavoidably obvious #ClimateEmergency and #AustralianBushfires that Paul Kelly apparently slept through and the #australian published denialist disinfo abt.",0.29946000000000006,neutral,"[{'text': 'QandA', 'indices': [0, 6]}, {'text': 'climatechange', 'indices': [52, 66]}, {'text': 'ClimateEmergency', 'indices': [144, 161]}, {'text': 'AustralianBushfires', 'indices': [166, 186]}, {'text': 'australian', 'indices': [236, 247]}]",2,0,2020-11-09 12:51:57,AusKoalaXPress,3702,Queensland Australia Global
For a great summary of #COVID19's impact on #climatechange then look no further! 👇  Includes CONSTRAIN research @ https://t.co/pxdxdnuzeK https://t.co/2LOigZ9OT7,0.13562000000000002,neutral,"[{'text': 'COVID19', 'indices': [23, 31]}, {'text': 'climatechange', 'indices': [44, 58]}]",0,0,2020-11-09 12:51:50,CONSTRAIN_EU,275,
"@CNN #joking that’s not how combatting #climatechange works!  Follow #science   MUST include billions of people globally to DO something #China #India #Brazil #Indonesia #Russia, not sign a silly piece of paper with no accountability for ALL, equally.  Only 330 million people in USA!",0.31954000000000005,neutral,"[{'text': 'joking', 'indices': [5, 12]}, {'text': 'climatechange', 'indices': [39, 53]}, {'text': 'science', 'indices': [69, 77]}, {'text': 'China', 'indices': [137, 143]}, {'text': 'India', 'indices': [144, 150]}, {'text': 'Brazil', 'indices': [151, 158]}, {'text': 'Indonesia', 'indices': [159, 169]}, {'text': 'Russia', 'indices': [170, 177]}]",0,0,2020-11-09 12:50:15,B1GTEN01,113,"New Jersey, USA"
We are under way to miss yet another chance for transformation. #change #ClimateAction #climatechange  Revealed: Covid recovery plans threaten global climate hopes https://t.co/5uo9mydCH5,-0.14389999999999997,neutral,"[{'text': 'change', 'indices': [64, 71]}, {'text': 'ClimateAction', 'indices': [72, 86]}, {'text': 'climatechange', 'indices': [87, 101]}]",0,0,2020-11-09 12:49:53,stephananobs,82,"San Francisco, CA"
"@GiovannaNardoz1 @grandmagrit And I feel bad for leaving #Obama to go it alone. Well, I was doing signs about #climatechange  - but I wish I'd done more supporting him - and at least one condemning that bastard who yelled out ""You lie!"" in the SOTU. https://t.co/vndUiypc65",0.18031999999999995,neutral,"[{'text': 'Obama', 'indices': [57, 63]}, {'text': 'climatechange', 'indices': [110, 124]}]",0,0,2020-11-09 12:49:16,politicallands1,5990,America
"supporters, Biden and Vice President-elect Kamala Harris have launched a transition website which lists four priorities: Covid-19, economic recovery, racial equity and climate change. #Biden #US #Trump #WhiteHouse #Lead #Recovery #RacialEquality #ClimateChange",0.02062,neutral,"[{'text': 'Biden', 'indices': [184, 190]}, {'text': 'US', 'indices': [191, 194]}, {'text': 'Trump', 'indices': [195, 201]}, {'text': 'WhiteHouse', 'indices': [202, 213]}, {'text': 'Lead', 'indices': [214, 219]}, {'text': 'Recovery', 'indices': [220, 229]}, {'text': 'RacialEquality', 'indices': [230, 245]}, {'text': 'ClimateChange', 'indices': [246, 260]}]",0,0,2020-11-09 12:48:52,itv_sa,9403,South Africa
A great opportunity for creatives working on innovative responses to #climatechange in #Zambia. Apply now! https://t.co/XJZxIgtNS0,1.02613,positive,"[{'text': 'climatechange', 'indices': [69, 83]}, {'text': 'Zambia', 'indices': [87, 94]}]",0,0,2020-11-09 12:48:44,zmBritish,4579,"Lusaka, Zambia"
Yale climate change study raises health concerns for Connecticut residents   READ MORE: https://t.co/vVhtni5v18  #Adaptation #Antarctica #Arctic #CarbonDioxide #ClimateAction #ClimateChange #ClimateScience #climatology #Companies #Environment* https://t.co/Udg76fbgoS,1.23988,positive,"[{'text': 'Adaptation', 'indices': [113, 124]}, {'text': 'Antarctica', 'indices': [125, 136]}, {'text': 'Arctic', 'indices': [137, 144]}, {'text': 'CarbonDioxide', 'indices': [145, 159]}, {'text': 'ClimateAction', 'indices': [160, 174]}, {'text': 'ClimateChange', 'indices': [175, 189]}, {'text': 'ClimateScience', 'indices': [190, 205]}, {'text': 'climatology', 'indices': [206, 218]}, {'text': 'Companies', 'indices': [219, 229]}, {'text': 'Environment', 'indices': [230, 242]}]",0,1,2020-11-09 12:47:56,IAM__Network,17832,Worldwide
"BIDEN TRANSITION BEGINS IN THE US AS TRUMP REFUSES TO CONCEDE US President-elect Joe Biden took the first steps on Sunday towards moving into the White House in January, as Donald Trump again refused #Biden #US #Trump #WhiteHouse #Lead #Recovery #RacialEquality #ClimateChange https://t.co/qKMkkORL0J",-0.5555199999999999,negative,"[{'text': 'Biden', 'indices': [200, 206]}, {'text': 'US', 'indices': [207, 210]}, {'text': 'Trump', 'indices': [211, 217]}, {'text': 'WhiteHouse', 'indices': [218, 229]}, {'text': 'Lead', 'indices': [230, 235]}, {'text': 'Recovery', 'indices': [236, 245]}, {'text': 'RacialEquality', 'indices': [246, 261]}, {'text': 'ClimateChange', 'indices': [262, 276]}]",0,0,2020-11-09 12:47:48,itv_sa,9403,South Africa
"""There is no vaccine for poverty, hunger, #climatechange or inequality.  None of these challenges can be addressed in isolation. They are deeply intertwined – and so must be our response""-@DrTedros #WHA73",0.10683000000000004,neutral,"[{'text': 'climatechange', 'indices': [42, 56]}, {'text': 'WHA73', 'indices': [198, 204]}]",5,5,2020-11-09 12:46:48,WHO,8533377,"Geneva, Switzerland"
#murdoch enters #qanda! #cleanupmurdoch #climatechange https://t.co/DxoobQoJiw,0.0,neutral,"[{'text': 'murdoch', 'indices': [0, 8]}, {'text': 'qanda', 'indices': [16, 22]}, {'text': 'cleanupmurdoch', 'indices': [24, 39]}, {'text': 'climatechange', 'indices': [40, 54]}]",0,1,2020-11-09 12:46:25,treacl,2318,"Brisbane, Queensland"
With conservatives stating bluntly that they will not abandon Oil&amp;Gas - how will we counter #climatechange https://t.co/cAqHxDmCTT,-0.73061,negative,"[{'text': 'climatechange', 'indices': [96, 110]}]",0,1,2020-11-09 12:46:03,msignal,254,
